두리	20	22	23	11	23
불그리	10	25	23	19	33
실버우리	20	22	22	24	27
얼룩우리	15	22	17	19	17
얼룩우리(환)	25	30	24	27	24
우리	10	24	16	14	22
녹우리	20	26	24	26	32
복우리	25	25	26	22	33
푸우리	21	32	27	20	26
별우리	25	27	30	23	29
지옥우리	26	27	34	20	27
골드부비	25	31	20	32	12
부비	15	42	20	16	12
부이	22	44	21	16	13
부이비	16	32	26	15	18
얼룩부이비	23	30	28	14	20
깡우비	27	33	30	25	22
푸비	23	44	24	23	17
푸이	25	39	36	17	19
별부이	27	38	32	23	18
꼬꼬비	16	21	22	18	25
환생꼬꼬비	18	24	29	21	29
꼬미	22	22	23	19	23
환생꼬미	22	25	31	21	27
꼬비	20	21	22	18	28
환생꼬비	20	24	30	19	32
꼬비오	18	22	22	18	28
환생꼬비오	18	24	29	20	31
꼬꼬미	21	27	25	25	26
꼬이비	23	24	31	20	28
돌꼬비	22	28	26	21	24
푸미	22	29	25	24	26
킹꼬미	24	29	33	19	28
오투투	20	17	18	15	29
환생오투투	18	22	25	19	38
우푸	15	18	21	7	33
환생우푸	18	23	28	10	42
투투	17	23	19	11	26
환생투투	15	29	27	14	37
푸푸	13	17	20	10	32
환생푸푸	15	22	28	13	40
노투투	17	22	24	13	39
포포	18	23	28	13	35
푸투	16	26	23	20	35
푸투투	20	26	27	13	38
천공우푸	22	26	25	21	35
베로로크	19	29	14	32	13
베로보크	23	30	13	31	14
베로포리	22	29	16	30	15
베론	24	30	12	30	15
베노노크					
베노투리	21	31	16	35	17
베로바드	23	36	20	35	16
베톤	19	34	17	39	15
깡북이	12	20	21	33	10
환생깡북이	12	26	29	40	13
노북이	14	20	18	34	9
환생노북이	15	25	23	42	16
돌북이	20	21	19	41	4
환생돌북이	19	27	25	49	5
북이	14	19	19	35	8
환생북이	15	26	27	43	10
물북이	15	31	24	38	10
자라북	15	28	21	39	10
철북이	13	23	25	35	13
킹북이	17	33	26	39	14
네고스	18	24	20	20	17
다고스	18	24	22	21	18
보크곤	19	21	22	19	23
아고아	20	23	22	21	18
타로곤	17	23	21	23	17
골드곤					
기고아	20	29	24	27	22
타로아	24	27	29	26	21
라고고	23	22	26	20	26
환생라고고	23	25	32	22	28
루니	22	23	23	25	22
환생루니	23	27	26	29	25
토루루	19	23	24	23	25
환생토루루	22	26	27	26	27
후바바	24	22	24	19	27
환생후바바	24	25	30	21	30
기바바	23	27	25	28	26
라루루	25	28	28	22	30
주니	23	26	24	26	30
푸고고	26	29	27	23	28
램가스	20	19	27	43	10
환생램가스	22	21	29	45	11
로기안	23	25	21	38	6
환생로기안	22	28	25	42	7
아이카스	22	27	19	37	6
환생아이카스	20	31	24	43	8
카르기안	20	25	20	36	12
환생카르기안	20	28	23	39	16
카타르카스	22	25	23	40	6
환생카타르카스	22	28	26	45	7
코로카스	17	26	24	37	7
환생코로카스	18	29	28	41	8
쿠카스	22	25	21	39	5
환생쿠카스	20	27	25	43	8
쿠타스	22	28	24	31	6
환생쿠타스	18	32	29	37	7
가로기안	18	30	25	42	2
금타르카스	22	25	24	45	8
마르카스	22	25	29	42	7
푸르카스	22	25	23	40	6
리비노	22	27	37	19	17
환생리비노	23	27	38	20	18
반기노	26	24	38	16	20
환생반기노	25	25	41	18	21
반보로	27	25	37	15	21
환생반보로	27	26	40	17	22
부르돈	25	25	35	14	24
환생부르돈	26	26	37	16	26
얀기로	29	27	36	16	20
환생얀기로	25	29	39	18	21
기라노	26	29	36	19	22
기비노	27	25	41	15	21
프로돈	26	31	37	18	22
에드노	25	29	37	20	20
메카기로	28	29	38	19	21
백귀돈	27	28	37	17	24
보르돈	21	29	39	17	20
사일로	26	28	38	19	20
실비노	25	27	37	18	22
주기노	27	25	36	14	23
환생주기노	30	26	38	18	23
천기로	26	31	37	18	22
청기노	25	33	37	17	21
황금얀기로	27	27	39	20	22
리스키	17	19	16	19	23
